epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,380.099,1.73147,1.54961,1.53932,0.61964,0.68909,0.70982,0.32331,1.99345,1.63627,1.84165,0.000254578,0.000254578,0.000254578
2,417.039,1.78272,1.60885,1.58367,0.60107,0.70285,0.75897,0.36538,1.89284,1.53391,1.7974,0.000500795,0.000500795,0.000500795
3,451.831,1.78964,1.53133,1.58067,0.66035,0.74026,0.77629,0.36437,1.87495,1.57427,1.79911,0.000736861,0.000736861,0.000736861
4,484.41,1.75136,1.48327,1.55259,0.70711,0.74057,0.78819,0.37012,1.93892,1.7888,1.8182,0.000723321,0.000723321,0.000723321
5,517.854,1.70665,1.3572,1.53276,0.65229,0.80075,0.80931,0.40264,1.80174,1.3935,1.69275,0.000708095,0.000708095,0.000708095
6,551.301,1.69306,1.291,1.51447,0.76485,0.88456,0.88404,0.44764,1.80113,1.14977,1.68604,0.000692869,0.000692869,0.000692869
7,585.017,1.65163,1.25991,1.49315,0.78731,0.82715,0.85954,0.44649,1.78685,1.05578,1.67351,0.000677643,0.000677643,0.000677643
8,617.433,1.64039,1.18472,1.48062,0.81021,0.82549,0.87959,0.45058,1.75992,0.97317,1.65463,0.000662417,0.000662417,0.000662417
9,650.893,1.65199,1.16727,1.49264,0.80603,0.86294,0.89065,0.45626,1.77866,1.01147,1.68021,0.00064719,0.00064719,0.00064719
10,684.632,1.63509,1.12716,1.48158,0.81006,0.76013,0.82074,0.41428,1.79105,1.18212,1.68551,0.000631964,0.000631964,0.000631964
11,717.587,1.6636,1.16602,1.49329,0.85781,0.84774,0.90021,0.46252,1.7781,0.99954,1.67888,0.000616738,0.000616738,0.000616738
12,752.337,1.60903,1.09596,1.4622,0.76324,0.85771,0.87778,0.46752,1.75289,1.01587,1.65547,0.000601512,0.000601512,0.000601512
13,786.181,1.6051,1.04508,1.46177,0.88834,0.87126,0.91364,0.48403,1.72634,0.88601,1.63498,0.000586286,0.000586286,0.000586286
14,818.177,1.60286,1.05758,1.46039,0.91173,0.85431,0.90854,0.4948,1.68944,0.89646,1.61462,0.000571059,0.000571059,0.000571059
15,850.211,1.59874,1.01908,1.45381,0.89922,0.89183,0.91769,0.47532,1.78816,0.8272,1.65873,0.000555833,0.000555833,0.000555833
16,881.364,1.58339,0.97678,1.44098,0.88603,0.88372,0.90823,0.48754,1.67554,0.86159,1.58807,0.000540607,0.000540607,0.000540607
17,912.569,1.56413,0.9662,1.44035,0.85099,0.89471,0.91841,0.49191,1.68056,0.88178,1.58571,0.000525381,0.000525381,0.000525381
18,943.792,1.5477,0.94463,1.40274,0.91728,0.89068,0.92868,0.50892,1.67293,0.78052,1.56255,0.000510155,0.000510155,0.000510155
19,975.831,1.55885,0.94046,1.41345,0.8848,0.91897,0.92239,0.49725,1.6531,0.81967,1.58071,0.000494928,0.000494928,0.000494928
20,1007.16,1.55021,0.9192,1.43094,0.88653,0.8842,0.91721,0.51046,1.66536,0.85701,1.56037,0.000479702,0.000479702,0.000479702
21,1040.93,1.55326,0.91897,1.41206,0.88992,0.89071,0.92326,0.50116,1.67911,0.7937,1.584,0.000464476,0.000464476,0.000464476
22,1073.97,1.52561,0.88331,1.40352,0.90446,0.91798,0.93675,0.50169,1.70081,0.77105,1.58218,0.00044925,0.00044925,0.00044925
23,1106.83,1.53028,0.89759,1.41569,0.89324,0.91155,0.92945,0.50311,1.69388,0.79051,1.60168,0.000434024,0.000434024,0.000434024
24,1139.74,1.5243,0.8802,1.41071,0.90698,0.91011,0.93425,0.5039,1.71713,0.7642,1.60705,0.000418797,0.000418797,0.000418797
25,1171.36,1.52588,0.86007,1.42696,0.90082,0.88613,0.92716,0.50948,1.67739,0.78933,1.58388,0.000403571,0.000403571,0.000403571
26,1205.34,1.53878,0.85222,1.4201,0.90707,0.90159,0.92841,0.50926,1.6585,0.78983,1.57389,0.000388345,0.000388345,0.000388345
27,1239.83,1.49413,0.82768,1.38593,0.90097,0.91118,0.92913,0.50176,1.70441,0.79889,1.60451,0.000373119,0.000373119,0.000373119
28,1272.7,1.49235,0.83355,1.39099,0.89401,0.88588,0.91349,0.49034,1.72686,0.78886,1.61383,0.000357893,0.000357893,0.000357893
29,1305.19,1.46604,0.81724,1.37532,0.89801,0.91198,0.93043,0.50996,1.67998,0.738,1.57174,0.000342666,0.000342666,0.000342666
30,1338.09,1.49626,0.813,1.37906,0.90968,0.90342,0.92648,0.5107,1.68793,0.78286,1.58369,0.00032744,0.00032744,0.00032744
31,1370.63,1.48181,0.82025,1.38065,0.87027,0.93157,0.9349,0.51562,1.70005,0.77168,1.60213,0.000312214,0.000312214,0.000312214
32,1401.25,1.4684,0.78625,1.3845,0.91729,0.8991,0.9327,0.51451,1.68591,0.78963,1.56704,0.000296988,0.000296988,0.000296988
33,1431.26,1.46974,0.80478,1.36096,0.90265,0.91758,0.94232,0.52021,1.67313,0.7342,1.57559,0.000281762,0.000281762,0.000281762
34,1461.89,1.46864,0.8016,1.35912,0.92097,0.91359,0.94438,0.52812,1.68698,0.72802,1.57688,0.000266535,0.000266535,0.000266535
35,1492.4,1.45205,0.76452,1.35396,0.91968,0.9236,0.93691,0.5194,1.70098,0.76385,1.5813,0.000251309,0.000251309,0.000251309
36,1522.16,1.43595,0.78086,1.35982,0.9235,0.91515,0.94466,0.51673,1.68724,0.7378,1.58116,0.000236083,0.000236083,0.000236083
37,1551.72,1.42347,0.74486,1.34706,0.91226,0.92429,0.95165,0.53376,1.67267,0.70333,1.57229,0.000220857,0.000220857,0.000220857
38,1582.26,1.44254,0.74127,1.35794,0.91671,0.91407,0.94577,0.53218,1.65875,0.68585,1.56429,0.000205631,0.000205631,0.000205631
39,1611.91,1.43133,0.73818,1.35724,0.91783,0.91117,0.94356,0.5202,1.68905,0.72281,1.57453,0.000190404,0.000190404,0.000190404
40,1641.51,1.40998,0.7192,1.33495,0.91718,0.91932,0.94093,0.52004,1.68661,0.70213,1.595,0.000175178,0.000175178,0.000175178
41,1683.45,1.40275,0.66502,1.37162,0.91165,0.91767,0.94092,0.52363,1.67134,0.69441,1.57741,0.000159952,0.000159952,0.000159952
42,1713.18,1.39254,0.66183,1.36421,0.92111,0.92301,0.94393,0.53114,1.67687,0.69203,1.57011,0.000144726,0.000144726,0.000144726
43,1742.89,1.37441,0.65642,1.35736,0.92471,0.9118,0.93786,0.52821,1.6784,0.69399,1.56679,0.0001295,0.0001295,0.0001295
44,1772.72,1.35163,0.62526,1.34026,0.9197,0.91655,0.94393,0.52776,1.65899,0.68059,1.55384,0.000114273,0.000114273,0.000114273
45,1802.45,1.3489,0.64883,1.34611,0.91356,0.91438,0.94061,0.53608,1.65123,0.69391,1.55855,9.90472e-05,9.90472e-05,9.90472e-05
46,1833.25,1.34212,0.62518,1.33285,0.92537,0.92051,0.94685,0.53977,1.66598,0.69053,1.57581,8.3821e-05,8.3821e-05,8.3821e-05
47,1864.1,1.3437,0.62694,1.33873,0.91883,0.92833,0.95161,0.54079,1.64813,0.69006,1.55744,6.85948e-05,6.85948e-05,6.85948e-05
48,1894.74,1.32754,0.60089,1.32294,0.92812,0.92212,0.9517,0.53619,1.65345,0.68363,1.5599,5.33686e-05,5.33686e-05,5.33686e-05
49,1924.35,1.31088,0.60176,1.31868,0.9258,0.92115,0.94774,0.54254,1.64692,0.68248,1.55953,3.81424e-05,3.81424e-05,3.81424e-05
50,1955.07,1.3051,0.60407,1.32522,0.92507,0.92398,0.94629,0.54293,1.64035,0.68454,1.55678,2.29162e-05,2.29162e-05,2.29162e-05
